label,Year,Month,include,freq,fixfreq,freqerr,Amp noise level,amp,fixamp,amperr,phase,brute,fixphase,phaseerr,Multiplet Freq,Multiplet Difference,Combination Difference,Combination Sum,Periods
f7014,2008,9,TRUE,1210.776069,,0.54518098,0,18.26854667,,,,,,,"f7011, f7012, f7013, f7015","1.53751981999994, 1.1210855399999673, 0.809480350000058, 0.13392158999999992",,,825.9165555
f7015,2008,9,TRUE,1210.90999,,0.77182695,0,15.95812649,,,,,,,"f7011, f7012, f7013, f7014","1.67144140999994, 1.2550071299999672, 0.943401940000058, 0.13392158999999992",,,825.8252126
f9000,2018,0,,1211.395,,0.005,0,32.7,,0.5,,,,,,,,,
f8002,2012,0,TRUE,1211.875736,FALSE,0.0082444,1.968314894,13.11624488,FALSE,0.312170204,0.979924059,FALSE,FALSE,0.003780686,,,,,
f8103,2013,0,,1211.9207,,0.0069,0,13.791,,0.25092,,,,,f8151,9.5749,,,825.1364961
f3401,1993,12,TRUE,1213.665241,FALSE,0.035695291,3.47641073,17.16709095,FALSE,0.463495821,0.456045339,FALSE,FALSE,0.0042822,,,,,
f3304,1993,11,TRUE,1218.348146,FALSE,0.067468233,3.717362656,14.93075914,FALSE,0.486712769,0.57676584,FALSE,FALSE,0.005222405,,,,,
f2301,1991,9,TRUE,1220.653293,FALSE,0.012083806,3.814605342,26.33121182,FALSE,0.292485937,0.005987858,FALSE,FALSE,0.001740907,,,,,
f2600,1991,12,TRUE,1223.950539,FALSE,0.022152346,4.171581856,38.2752245,FALSE,0.554129736,0.120613463,FALSE,FALSE,0.002309849,,,,,
f7016,2008,9,TRUE,1224.608744,,0.51328172,0,15.12162965,,,,,,,"f7017, f7018","0.185298569999986, 4.970880159999979",,,816.5873424
f7017,2008,9,TRUE,1224.794043,,0.87546538,0,9.90481218,,,,,,,"f7016, f7018","0.185298569999986, 4.7855815899999925",,,816.4638013
f0402,1989,12,TRUE,1224.837492,FALSE,0.03089825,2.763154899,10.10356854,FALSE,0.361725716,0.999991989,FALSE,FALSE,0.005622316,,,,,
f2500,1991,11,TRUE,1225.092569,FALSE,0.006819794,2.161875091,44.29392079,FALSE,0.258017057,0.213599645,FALSE,FALSE,0.00092575,,,,,
f9227,2022,9,TRUE,1225.704669,FALSE,0.012747337,0.664442269,1.210869824,FALSE,0.069265477,0.404574126,FALSE,FALSE,0.009105839,,,,,
f4101,2003,0,TRUE,1228.184555,FALSE,0.007223835,2.283799702,19.8675264,FALSE,0.330552246,0.224918853,FALSE,FALSE,0.002648508,,,,,
f0002,1975,0,TRUE,1228.204169,FALSE,1.626708272,4.894468264,19.58542082,FALSE,1.140195677,0.122044234,FALSE,FALSE,0.009503066,,,,,
f7018,2008,9,TRUE,1229.579624,,0.82812212,0,4.27717783,,,,,,,"f7016, f7017, f7019","4.97088015999997, 4.7855815899999925, 9.966494700000112",,,813.2860859
f1100,1990,8,TRUE,1229.622696,FALSE,0.013869895,2.452934811,22.39228843,FALSE,0.392568544,0.095555313,FALSE,FALSE,0.002793141,,,,,
f2400,1991,10,TRUE,1230.065727,FALSE,0.048318497,2.956300422,28.54573617,FALSE,0.387508982,0.114711939,FALSE,FALSE,0.002127607,,,,,
f9107,2021,8,TRUE,1232.869588,FALSE,0.008785082,0.9027398,2.325587729,FALSE,0.087118775,0.674966985,FALSE,FALSE,0.005974803,,,,,
f0109,1985,9,TRUE,1233.742844,FALSE,0.117592518,3.93177497,10.74842261,FALSE,0.828218612,0.86682363,FALSE,FALSE,0.012141361,,,,,
f6050,1992,9,,1235.41,,,0,30.1,,,,,,,,,,,809.448
f7019,2008,9,TRUE,1239.546119,,0.31991072,0,7.927769027,,,,,,,"f7018, f7020","9.96649470000011, 0.7604948700000023",,,806.7469089
f7020,2008,9,TRUE,1240.306614,,0.52712619,0,5.89444529,,,,,,,f7019,0.76049487,,,806.2522514
f8154,2013,0,,1240.9522,,0.0277,0,3.1543,,0.23441,,,,,f8127,4.2958,,,805.8328113
f2000,1991,1,TRUE,1244.780725,FALSE,1.644459864,11.9400935,66.37617699,FALSE,1.272329729,0.608015671,FALSE,FALSE,0.002995661,,,,,
f8127,2013,0,,1245.248,,0.0205,0,3.9648,,0.22739,,,,,f8154,4.2958,,,803.0528859
f2100,1991,7,TRUE,1246.57723,FALSE,0.55163066,4.822327841,41.93184701,FALSE,0.411245886,0.429950491,FALSE,FALSE,0.001601429,,,,,
f4000,1994,5,TRUE,1249.104151,FALSE,0.176307693,9.062693998,33.86725154,FALSE,2.453547734,0.742878671,FALSE,FALSE,0.01078476,,,,,
f8158,2013,0,,1272.653,,0.0343,0,2.6144,,0.23562,,,,,"f8112, f8171, f8172","9.395899999999983, 7.503799999999956, 6.090099999999893",,,785.7601404
f1020,1988,12,,1275.0625,,0.0111,0,2.4267,,,,,,,,,,,784.2752806
f4103,2003,0,TRUE,1275.489863,FALSE,0.011638458,2.283799702,12.25876639,FALSE,0.330777034,0.47681026,FALSE,FALSE,0.004279292,,,,,
f8172,2013,0,,1278.7431,,0.0275,0,3.1668,,0.23277,,,,,"f8112, f8121, f8158, f8171","3.30580000000009, 4.028700000000072, 6.090099999999893, 1.4137000000000626",,,782.0179049
f9228,2022,9,TRUE,1279.514431,FALSE,0.017551276,0.664442269,0.879172237,FALSE,0.069240372,0.172540964,FALSE,FALSE,0.012537918,,,,,
f8171,2013,0,,1280.1568,,0.025,0,3.7517,,0.2546,,,,,"f8112, f8121, f8158, f8172","1.89210000000002, 2.615000000000009, 7.503799999999956, 1.4137000000000626",,,781.1543086
f8112,2013,0,,1282.0489,,0.012,0,7.7614,,0.25056,,,,,"f8121, f8158, f8171, f8172","0.7228999999999814, 9.395899999999983, 1.8921000000000276, 3.30580000000009",,,780.0014492
f8006,2012,0,TRUE,1282.098636,FALSE,0.017697263,1.968314894,6.057904167,FALSE,0.311994123,0.648288289,FALSE,FALSE,0.008155475,,,,,
f8121,2013,0,,1282.7718,,0.0202,0,4.4889,,0.25272,,,,,"f8112, f8171, f8172","0.7228999999999814, 2.615000000000009, 4.028700000000072",,,779.5618831
f1612,1990,12,TRUE,1289.784816,FALSE,0.08436948,4.81294557,17.7571275,FALSE,0.75008883,0.38839107,FALSE,FALSE,0.006735312,,,,,
f1021,1988,12,,1290.7816,,0.0068,0,4.5999,,,,,,,,,,,774.7243995
f9015,2020,0,,1292.21,,0.1,0,7.4,,0.3,,,,,f9016,4.46,,,
f3300,1993,11,TRUE,1292.790046,FALSE,0.034674983,3.717362656,26.86278558,FALSE,0.477336178,0.530241261,FALSE,FALSE,0.002838754,,,,,
f9016,2020,0,,1296.67,,0.2,0,4,,0.3,,,,,f9015,4.46,,,
f6058,1993,9,,1297.296,,,0,8.7,,,,,,,,,,,770.834
f0506,1989,11,TRUE,1297.472614,FALSE,0.04982489,3.381870344,6.231043199,FALSE,0.384125638,0.85793438,FALSE,FALSE,0.009525014,,,,,
f6033,1989,9,,1297.589,,,0,1.5,,,,,,,,,,,770.66
f9100,2021,8,TRUE,1298.881564,FALSE,0.001922878,0.9027398,10.51604899,FALSE,0.087119036,0.452433228,FALSE,FALSE,0.00131995,,,,,
f3403,1993,12,TRUE,1305.289092,FALSE,0.049966897,3.47641073,12.2591326,FALSE,0.463370155,0.042831578,FALSE,FALSE,0.005985003,,,,,
f1105,1990,8,TRUE,1313.607701,FALSE,0.041720569,2.452934811,7.43975788,FALSE,0.392960413,0.673025321,FALSE,FALSE,0.008399947,,,,,
